Sample_ID,A_15_NIT_MS_GH_LI_10_04_18.csv,A_16_NIT_MS_GH_LI_10_05_18.csv,A_17_NIT_MS_GH_LI_10_05_18.csv,A_1_NIT_MS_GH_LI_07_12_18.csv,A_3_NIT_MS_GH_LI_07_13_18.csv,A_8_NIT_MS_GH_LI_07_09_18.csv,A_9_NIT_MS_GH_LI_07_10_18.csv,B_2_NIT_MS_GH_LI_07_16_18.csv,B_7_NIT_MS_GH_LI_10_08_18.csv,B_8_NIT_MS_GH_LI_10_08_18.csv
LIG-1,,,,,,,,,,
LIG-2,,,,,,,,,,
LIG-3,,,,,,,,,,
LIG-4,,,,,,,,,,
LIG-5,,,,,,,,,,
LIG-6,,,,,,,,,,
LIG-7,,,,,,,,,,
LIG-8,,,,,,,,,,
LIG-9,,,,,,,,,,
LIG-10,,,,5.123349352842827,,,,,,
LIG-11,,,,7.69601627837869,,,,,,
LIG-12,,,,7.083476534203486,,,,,,
LIG-13,,,,4.265793710997538,,,,,,
LIG-14,,,,7.818524227213731,,,,,,
LIG-15,,,,8.063540124883813,,,,8.212903357007926,,
LIG-16,,,,11.126238845759843,,,,,,
LIG-17,,,,14.92398525964612,,,,14.296757285407978,,
LIG-18,,,,7.573508329543648,,,,,,
LIG-19,,,,15.904048850326447,,,,,,
LIG-20,,,,7.451000380708608,,,,,,
LIG-21,,,,6.593444738863321,,,,,,
LIG-22,,,,7.69601627837869,,,,,,
LIG-23,,,,12.718842180615379,,,,,,
LIG-24,,,,11.616270641100007,,,,,,
LIG-25,,,,3.163222171482167,,,,,,
LIG-26,,,,25.459668859459658,,,,23.63981867545091,,
LIG-27,,,,16.149064747996526,,,,,,
LIG-28,,,,4.265793710997538,,,,,,
LIG-29,,,,,,,,,,
LIG-30,,,,,,,,,,
LIG-31,,,,,,,,,,
LIG-32,,,,,,,,,,
LIG-33,,,,,,,,5.062336144086472,,
LIG-34,,,,,,,,,,
LIG-35,,,,,,,,,,
LIG-36,,,,,,,,23.09661743184376,,
LIG-37,,,,,,,,,,
LIG-38,,,,,,,,,,
LIG-39,,,,,,,,,,
LIG-40,,,,,,,,,,
LIG-41,,,,,,,,,,
LIG-42,,,,,,,,,,
LIG-43,,,,,,,,,,
LIG-44,,,,,,,,,,
LIG-45,,,,,,,,,,
LIG-46,,,,,,,,,,
LIG-47,,,,,,,,,,
LIG-48,,,,,,,,,,
LIG-49,,,,,,,,,,
LIG-50,,,,,,,,15.926361016229418,,
LIG-51,,,,,15.68104766535296,,,14.731318280293696,,
LIG-52,,,,,14.198324534340482,,,13.427635295636543,,
LIG-53,,,,,19.51141575380187,,,18.09916599065801,,
LIG-54,,,,,17.905132361871686,,,16.68684275727943,,
LIG-55,,,,,27.419272452535104,,,25.05214190882949,,
LIG-56,,,,,13.086282186081124,,,12.449873057143677,,
LIG-57,,,,,46.07687185110882,,,41.45681946576535,,
LIG-58,,,,,32.73236367199649,,,29.723672603850957,,
LIG-59,,,,,40.88734089256513,,,36.893929019465304,,
LIG-60,,,,,23.588904364086194,,,,,
LIG-61,,,,,11.109318011397812,,,,,
LIG-62,,,,,4.43706392184165,,,4.845055646643614,,
LIG-63,,,,,8.143871749372853,,,x_9.73386683910794,,
LIG-64,,,,,0.35957531155732736,,,,,
LIG-65,,,,,10.244396184973867,,,,,
LIG-66,,,,,9.873715402220748,,,,,
LIG-67,,,,,11.109318011397812,,,,,
LIG-68,,,,,13.20984244699883,,,,,
LIG-69,,,,,10.367956445891572,,,,,
LIG-70,,,,,13.580523229751947,,,,,
LIG-71,,,,,10.738637228644693,,,,,
LIG-72,,,,,10.367956445891576,,,,,
LIG-73,,,,,12.468480881492587,,,,,
LIG-74,,,,,,,,,,
LIG-75,,,,,,,,,,
LIG-76,,,,,,,,,,
LIG-77,,,,,,,,,,
LIG-78,,,,,,,,,,
LIG-79,,,,,,,,,,
LIG-80,,,,,,,,,,
LIG-81,,,,,,,,,,
LIG-82,,,,,,,,,,
LIG-83,,,,,,,,,,
LIG-84,,,,,,,,,,
LIG-85,,,,,,,,,,
LIG-86,,,,,,,,,,
LIG-87,,,,,,,,,,
LIG-88,,,,,,,,,,
LIG-89,,,,,,,,,,
LIG-90,,,,,,,,,,
LIG-91,,,,,,,,,,
LIG-92,,,,,,,,,,
LIG-93,,,,,,,,,,
LIG-94,,,,,,,,,,
LIG-95,,,,,,,,,,
LIG-96,,,,,,,,,,
LIG-97,,,,,,,,,,
LIG-98,,,,,,,,,,
LIG-99,,,,,,,,,,
LIG-100,,,,,,,,,,
LIG-101,,,,,,,,,,
LIG-102,,,,,,,,,,
LIG-103,,,,,,,,,,
LIG-104,,,,,,,,,,
LIG-105,,,,,,,,,,
LIG-106,,,,,,,,,,
LIG-107,,,,,,,,x_27.659507878143803,,
LIG-108,,,,,,,,,,
LIG-109,,,,,,,,,,
LIG-110,,,,,,,,24.07437967033663,,
LIG-111,,,,,,,,,,
LIG-112,,,,,,,,,,
LIG-113,,,,,,,,,,
LIG-114,,,,,,,,,,
LIG-115,,,,,,,,,,
LIG-116,,,,,,,,,,
LIG-117,,,,,,,,,,
LIG-118,,,,,,,,,,
LIG-119,,,,,,,,41.782740211929635,,
LIG-120,,,,,,38.38476963625085,,39.17537424261533,,
LIG-121,,,,,,8.261242745990753,,9.40794609294365,,
LIG-122,,,,,,12.65883791245208,,13.753556041800831,,
LIG-123,,,,,,12.65883791245208,,13.753556041800831,,
LIG-124,,,,,,10.24016057089835,,11.36347056992938,,
LIG-125,,,,,,11.779318879159813,,12.884434052029395,,
LIG-126,,,,,,11.119679604190617,,12.232592559700816,,
LIG-127,,,,,,12.329018274967481,,13.427635295636543,,
LIG-128,,,,,,11.229619483352149,,12.341232808422248,,
LIG-129,,,,,,11.779318879159813,,12.884434052029395,,
LIG-130,,,,,,10.460040329221417,,11.580751067372239,,
LIG-131,,,,,,12.438958154129015,,13.536275544357972,,
LIG-132,,,,,,11.229619483352149,,,,
LIG-133,,,,,,10.899799845867548,,,,
LIG-134,,,,,,16.616673562267273,,,,
LIG-135,,,,,,15.187455133167342,,,,
LIG-136,,,,,,12.65883791245208,,,,
LIG-137,,,,,,34.646813744758724,,,,
LIG-138,,,,,,22.113667520343938,,,,
LIG-139,,,,,,32.77783579901266,,,,
LIG-140,,,,,,10.020280812575283,,,,
LIG-141,,,,,,6.832024316890819,,,,
LIG-142,,,,,,15.627214649813478,,,,
LIG-143,,,,,,,11.823870484610836,,,
LIG-144,,,,,,,12.815607150105262,,,
LIG-145,,,,,,,18.545641217406388,,,
LIG-146,,,,,,,16.01120307225397,,,
LIG-147,,,,,,,14.027729741265116,,,
LIG-148,,,,,,,10.832133819116411,,,
LIG-149,,,,,,,11.05251974478184,,,
LIG-150,,,,,,,16.562167886417537,,,
LIG-151,,,,,,,14.6888875182614,,,
