Sample_ID,A_1_URE_MS_ASH_LI_11_15_18.csv,A_2_URE_MS_ASH_LI_11_16_18.csv,A_3_URE_MS_ASH_LI_11_19_18.csv,A_5_URE_MS_ASH_LI_11_20_18.csv,A_6_URE_MS_ASH_LI_11_21_18.csv,A_7_URE_MS_ASH_LI_12_05_18.csv,A_9_URE_MS_ASH_LI_12_05_18.csv,B_1_URE_MS_ASH_LI_12_10_18.csv,B_6_URE_MS_ASH_LI_01_29_19.csv,B_8_URE_MS_ASH_LI_11_20_18.csv
LIF-241,92.3716871222043,,,,,,,,,
LIF-242,82.4823177708068,,,,,,,,,
LIF-243,98.40587859085365,,,,,,,,,
LIF-244,85.41560529028911,,,,,,,,,
LIF-245,76.11289344278804,,,,,,,,,
LIF-246,98.48968680569598,,,,,,,,,
LIF-247,69.32442804055754,,,,,,,,,
LIF-248,51.221853634609545,,,,,,,,,
LIF-249,56.334154739993004,,,,,,,,,
LIF-250,66.22352409139053,,,,,,,,,
LIF-251,85.08037243091971,,,,,,,,,
LIF-252,59.68648333368708,,,,,,,,,
LIF-253,58.4293601110518,,,,,,,,,
LIF-254,80.97376990364444,,,,,,,,,
LIF-255,67.1454144546564,,,,,,,,,
LIF-256,69.5758526850846,,,,,,,,,
LIF-257,57.08842867357417,,,,,,,,,
LIF-258,116.2570283522746,,,,,,,,,
LIF-259,x_34.62782709582389,,,,,,,42.02902081828224,,
LIF-260,,,,,,,,,38.923842395780824,
LIF-261,129.4149180825238,,,,,,,,38.923842395780824,
LIF-262,66.97779802497169,,,,,,,,,
LIF-263,66.39114052107523,,,,,,,,,
LIF-264,60.77599012663766,,,,,,,,,
LIF-265,65.88829123202112,,,,,,,,,
LIF-266,83.15278348954561,,,,,,,,,
LIF-267,75.86146879826097,,,,,,,,,
LIF-268,90.86313925504197,,,,,,,,,
LIF-269,,94.34758889493807,,,,,,,,
LIF-270,,89.37767614355536,,,,,,,,
LIF-271,,x_88.99537516267978,,,,,,47.83777306235468,,
LIF-272,,82.5918337330136,,,,,,,,
LIF-273,,66.34404204580093,,,,,,,,
LIF-274,,66.43961729101983,,,,,,,,
LIF-275,,71.88740626849702,,,,,,,,
LIF-276,,40.53872583669845,,,,,,,,
LIF-277,,48.758196925523684,,,,,,52.72450114070133,,
LIF-278,,27.444917241709426,,,,,,,,
LIF-279,,41.68562877932523,,,,,,,,
LIF-280,,51.147578055996156,,,,,,,,
LIF-281,,59.94050061613477,,,,,,,,
LIF-282,,46.46439104027014,,,,,,,,
LIF-283,,x_53.53695918646859,,,,,,67.56909020888645,,
LIF-284,,61.18297880398044,,,,,,,,
LIF-285,,43.78828417414099,,,,,,,,
LIF-286,,40.82545157235515,,,,,,,,
LIF-287,,80.10687735732225,,,,,,,,
LIF-288,,152.55291323324698,,,,,,,,
LIF-289,,45.69978907851895,,,,,,,,
LIF-290,,x_73.70333592765608,,,,,,83.15129860965219,,
LIF-291,,x_124.64494162932877,,,,,,149.53703854190866,,
LIF-292,,78.19537245294428,,,,,,,,
LIF-293,,59.17589865438358,,,,,,,,
LIF-294,,74.56351313462616,,,,,,,,
LIF-295,,96.45024428975383,,,,,,,,
LIF-296,,100.55997983416644,,,,,,,,
LIF-297,,,107.30800420071105,,,,,,,
LIF-298,,,94.95402566651549,,,,,,,
LIF-299,,,71.56970915535962,,,,,,,
LIF-300,,,117.45591513951453,,,,,,,
LIF-301,,,x_79.95276601784946,,,,,83.9811203588054,,
LIF-302,,,124.86830226003185,,,,,,,
LIF-303,,,101.13101493361326,,,,,,,
LIF-304,,,100.86628682216622,,,,,,,
LIF-305,,,136.95755268278035,,,,,,,
LIF-306,,,72.27565078588506,,,,,,,
LIF-307,,,60.18640036313657,,,,,,,
LIF-308,,,71.83443726680666,,,,,,,
LIF-309,,,76.6877859766692,,,,,,,
LIF-310,,,221.22933482675717,,,,,,,
LIF-311,,,96.27766622375074,,,,,,,
LIF-312,,,90.8066185871784,,,,,,,
LIF-313,,,89.57122073375885,,,,,,,
LIF-314,,,105.10193660531897,,,,,,,
LIF-315,,,90.8066185871784,,,,,,,
LIF-316,,,45.008655306839174,,,,,,,
LIF-317,,,89.7477061413902,,,,,,,
LIF-318,,,228.0240230205647,,,,,,,
LIF-319,,,45.71459693736464,,,,,,,
LIF-320,,,45.89108234499601,,,,,,,
LIF-321,,,244.43716593028162,,,,,,,
LIF-322,,,185.40279707759004,,,,,,,
LIF-323,,,123.1034481837182,,,,,,,
LIF-324,,,319.2669787659804,,,,,,,
LIF-325,,,,,,,,136.5364978051751,,
LIF-326,,,,,,,,197.2978903265042,,
LIF-327,,,,,,,,196.5602709939236,,
LIF-328,,,,,,,,85.7329662736844,,
LIF-329,,,,,,,,143.45167904811845,,
LIF-330,,,,,,,,184.02074234005298,,
LIF-331,,,,,,105.98630448914291,,,,
LIF-332,,,,,,322.9400424340839,,,,
LIF-333,,,,,,271.9874926492178,,,,
LIF-334,,,,,,249.2850165306677,,,,
LIF-335,,,,,,220.35216162770348,,,,
LIF-336,,,,,,107.94930054450624,,,,
LIF-337,,,,,,187.40796695943152,,,,
LIF-338,,,,,,64.67803967193147,,,,
LIF-339,,,,,,139.3572374303199,,,,
LIF-340,,,,,,143.1978818864656,,,,
LIF-341,,,,,,154.03703401825456,,,,
LIF-342,,,,,,145.84365917847708,,,,
LIF-343,,,,,,68.34798881891513,,,,
LIF-344,,,,,,234.17848166982793,,,,
LIF-345,,,,,,120.66610107707754,,,,
LIF-346,,,,,,193.46765043468363,,,,
LIF-347,,,,,,245.61506738368402,,,,
LIF-348,,,,,,252.44287975016522,,,,
LIF-349,,,,,,161.1208893484788,,,,
LIF-350,,,,,,168.71683060618918,,,,
LIF-351,,,,,,164.10805725881437,,,,
LIF-352,,,,,,173.9230375356311,,,,
LIF-353,,,,,,92.50137506534246,,,,nan
LIF-354,,,,,,95.74458593942106,,,,nan
LIF-355,,,,,,286.24055096424735,,,,nan
LIF-356,,,,,,201.31963465613705,,,,nan
LIF-357,,,,,,297.50644136894135,,,,nan
LIF-358,,,,,,65.27547325399857,,,,nan
LIF-359,,,,,,,207.0129648136283,,,nan
LIF-360,,,,,,,313.3130655210869,,,nan
LIF-361,,,,203.63448845856553,,,,,,203.63448845856553
LIF-362,,,,255.83715708290183,,,,,,255.83715708290183
LIF-363,,,,365.18592886039414,,,,,,365.18592886039414
LIF-364,,,,328.01130120366986,,,,,,328.01130120366986
LIF-365,,,,247.43331838390833,,,,,,247.43331838390833
LIF-366,,,,310.70928035280076,,,,,,310.70928035280076
LIF-367,,,,200.17408428839173,,,,,,200.17408428839173
LIF-368,,,,31.504098165062665,,,,,,31.504098165062665
LIF-369,,,,205.90846834182258,,,,,,205.90846834182258
LIF-370,,,,133.93206160220737,,,,186.14139792122225,,133.93206160220737
LIF-371,,,,177.53315414639735,,,,,,177.53315414639735
LIF-372,,,,214.70778180312172,,,,,,214.70778180312172
LIF-373,,,,86.07961536323243,,,,,,86.07961536323243
LIF-374,,,,113.07076789058813,,,,,,113.07076789058813
LIF-375,,,,156.77072912535453,,,,,,156.77072912535453
LIF-376,,,,164.0870122280077,,,,,,164.0870122280077
LIF-377,,,,220.54103454712896,,,,,,220.54103454712896
LIF-378,,,,x_257.9133995850061,,,,,,x_257.9133995850061
LIF-379,,,,128.79088969223483,,,,,,128.79088969223483
LIF-380,,,,66.40474593852993,,,,,,66.40474593852993
LIF-381,,,,271.6561475751249,,,,,,271.6561475751249
LIF-382,,,,107.43525252773364,,,,,,107.43525252773364
LIF-383,,,,189.00192225325912,,,,,,189.00192225325912
LIF-384,,,,78.56559487942646,,,,,,78.56559487942646
LIF-385,,,,179.41165926734885,,,,,,179.41165926734885
LIF-386,,,,254.55186410540873,,,,,,254.55186410540873
LIF-387,,,,245.6536819535332,,,,,,245.6536819535332
LIF-388,,,,59.187331526453136,,,,,,59.187331526453136
LIF-389,,,,,156.87716205798858,,,,,
LIF-390,,,,,150.64469556640296,,,,,
