Sample_ID,A_15_URE_MS_GH_LI_10_01_18.csv,A_16_URE_MS_GH_LI_10_02_18.csv,A_17_URE_MS_GH_LI_10_02_18.csv,A_1_URE_MS_GH_LI_06_25_18.csv,A_2_URE_MS_GH_LI_06_28_18.csv,A_3_URE_MS_GH_LI_07_02_18.csv,A_4_URE_MS_GH_LI_07_05_18.csv,A_7_URE_MS_GH_LI_07_05_18.csv,A_8_URE_MS_GH_LI_07_09_18.csv,A_9_URE_MS_GH_LI_07_10_18.csv,B_5_URE_MS_GH_LI_07_27_18.csv,B_6_URE_MS_GH_LI_10_03_18.csv,NO_BLANKS_QB_1_URE_MS_GH_LI_00_00_00.csv
LIG-1,,,,,,,,,,,,,
LIG-2,,,,,,,,,,,,,
LIG-3,,,,,,,,,,,,,
LIG-4,,,,,,,,,,,,,
LIG-5,,,,,,,,,,,,,
LIG-6,,,,,,,,,,,,,
LIG-7,,,,,,,,,,,,,
LIG-8,,,,,,,,,,,,,
LIG-9,,,,,,,,,,,,,
LIG-10,,,,-45.972190220628526,,,,,,,,,
LIG-11,,,,-45.972190205230525,,,,,,,,,
LIG-12,,,,-45.972190236026535,,,,,,,,,
LIG-13,,,,-45.97218749518181,,,,,,,,,
LIG-14,,,,-45.972178625931456,,,,,,,,,
LIG-15,,,,-45.97218015033386,,,,,,,,,
LIG-16,,,,-45.97217967299573,,,,,,,,,
LIG-17,,,,-45.972188218888,,,,,,,,,
LIG-18,,,,-45.97218886560417,,,,,,,,,
LIG-19,,,,-45.97218849605208,,,,,,,,,15.390414008630566
LIG-20,,,,-45.972188834808165,,,,,,,,,
LIG-21,,,,-45.97218926595228,,,,,,,,,
LIG-22,,,,-45.97218794172393,,,,,,,,,
LIG-23,,,,-45.97218844985806,,,,,,,,,
LIG-24,,,,-45.97218657130156,,,,,,,,,
LIG-25,,,,-45.97218691005765,,,,,,,,,
LIG-26,,,,-45.972187618365844,,,,,,,,,
LIG-27,,,,-45.972174930410475,,,,,,,,,
LIG-28,,,,-45.97218480053109,,,,,,,,,39.88031253035205
LIG-29,,,,,20.188371059102064,,,,,,,,
LIG-30,,,,,80.80957849440613,,,,,,,,
LIG-31,,,,,17.41122150381981,,,,,,,,
LIG-32,,,,,64.1466811627126,,,,,,,,
LIG-33,,,,,5.826540501785262,,,,,,,,
LIG-34,,,,,5.271110590728813,,,,,,,,
LIG-35,,,,,59.54454761395915,,,,,,,,
LIG-36,,,,,18.125345675178103,,,,,,,,
LIG-37,,,,,7.175441714350929,,,,,,,,
LIG-38,,,,,12.967782215368203,,,,,,,,
LIG-39,,,,,10.904756831444242,,,,,,,,
LIG-40,,,,,15.34819611989585,,,,,,,,
LIG-41,,,,,13.999294907330185,,,,,,,,
LIG-42,,,,,5.826540501785263,,,,,,,,
LIG-43,,,,,259.6580098545833,,,,,,,,
LIG-44,,,,,94.53663201051555,,,,,,,,
LIG-45,,,,,328.3726245652814,,,,,,,,
LIG-46,,,,,x_120.16575504926323,,,,,,,,
LIG-47,,,,,299.7283105807987,,,,,,,,
LIG-48,,,,,213.6366743670488,,,,,,,,
LIG-49,,,,,405.4186879418262,,,,,,,,
LIG-50,,,,,218.87358495700965,,,,,,,,
LIG-51,,,,,,178.04029728817457,,,,,,,231.00356224362017
LIG-52,,,,,,211.56902042735427,,,,,,,274.2690496319948
LIG-53,,,,,,197.41420570586098,,,,,,,256.0036669845442
LIG-54,,,,,,32.45921403527386,,,,,,,
LIG-55,,,,,,44.24171344031579,,,,,,,
LIG-56,,,,,,177.24952551602408,,,,,,,229.98314980521508
LIG-57,,,,,,27.240120339080782,,,,,,,36.41091023977484
LIG-58,,,,,,17.039164478339778,,,,,,,x_25.7986208803622
LIG-59,,,,,,14.90408069353352,,,,,,,
LIG-60,,,,,,x_15.694852465683985,,,,,,,
LIG-61,,,,,,10.15945006063073,,,,,,,
LIG-62,,,,,,8.577906516329799,,,,,,,
LIG-63,,,,,,10.001295706200638,,,,,,,14.165919082544491
LIG-64,,,,,,3.2797356429216804,,,,,,,
LIG-65,,,,,,203.26591681977442,,,,,,,
LIG-66,,,,,,140.24140657938233,,,,,,,
LIG-67,,,,,,161.4340900730148,,,,,,,
LIG-68,,,,,,145.61865463000547,,,,,,,
LIG-69,,,,,,150.6005167945534,,,,,,,
LIG-70,,,,,,119.83949485790029,,,,,,,
LIG-71,,,,,,89.23662727567731,,,,,,,
LIG-72,,,,,,274.35629913610126,,,,,,,330.9019399634757
LIG-73,,,,,,120.07672638954543,,,,,,,
LIG-74,,,,,,,119.22644618183001,,,,,,x_110.49285326798235
LIG-75,,,,,,,195.32669872342018,,,,,,
LIG-76,,,,,,,142.237321680367,,,,,,
LIG-77,,,,,,,29.073123246490432,,,,,,
LIG-78,,,,,,,101.80392616150914,,,,,,
LIG-79,,,,,,,30.47021211604447,,,,,,
LIG-80,,,,,,,40.578560995758934,,,,,,
LIG-81,,,,,,,14.198235870650453,,,,,,6.002619575303993
LIG-82,,,,,,,15.430961343786365,,,,,,
LIG-83,,,,,,,16.170596627667912,,,,,,
LIG-84,,,,,,,16.08841492945885,,,,,,
LIG-85,,,,,,,18.63604757393973,,,,,,
LIG-86,,,,,,,17.814230591849125,,,,,,10.08426932892424
LIG-87,,,,,,,18.22513908289443,,,,,,
LIG-88,,,,,,,x_17.074595307967577,,,,,,
LIG-89,,,,,,,17.485503799012882,,,,,,
LIG-90,,,,,,,18.389502479312547,,,,,,
LIG-91,,,,,,,17.2389587043857,,,,,,
LIG-92,,,,,,,17.074595307967577,,,,,,
LIG-93,,,,,,,17.732048893640062,,,,,,
LIG-94,,,,,,,17.074595307967577,,,,,,
LIG-95,,,,,,,16.910231911549456,,,,,,9.063856890519178
LIG-96,,,,,,,17.40332210080382,,,,3.237577657007912,,11.308764255010317
LIG-97,,,,,,,,13.731248271261922,,,3.067706211373266,,9.267939378200191
LIG-98,,,,,,,,15.189819416797992,,,,,10.69651679196728
LIG-99,,,,,,,,15.113052514401357,,,,,
LIG-100,,,,,,,,15.036285612004718,,,,,9.982228085083735
LIG-101,,,,,,,,13.654481368865287,,,,,
LIG-102,,,,,,,,14.345383490435003,,,,,
LIG-103,,,,,,,,15.036285612004722,,,,,
LIG-104,,,,,,,,13.577714466468652,,,,,9.063856890519178
LIG-105,,,,,,,,14.805984904814816,,,,,10.594475548126772
LIG-106,,,,,,,,15.113052514401357,,,,,x_10.798558035807785
LIG-107,,,,,,,,13.884782076055194,,,3.237577657007912,,12.023052961893857
LIG-108,,,,,,,,16.878691269523962,,,,,11.104681767329303
LIG-109,,,,,,,,15.496887026384531,,,,,9.982228085083735
LIG-110,,,,,,,,16.494856757540788,,,,,11.104681767329303
LIG-111,,,,,,,,15.573653928781164,,,,,
LIG-112,,,,,,,,16.034255343160975,,,,,
