Sample_ID,A_1_URE_MS_OTT_LI_11_21_18.csv,A_3_URE_MS_OTT_LI_11_27_18.csv,A_4_URE_MS_OTT_LI_11_28_18.csv,A_4_URE_MS_OTT_LI_11_28_18edited.csv,A_5_URE_MS_OTT_LI_11_28_18.csv,B_2_URE_MS_OTT_LI_12_11_18.csv,B_7_URE_MS_OTT_LI_12_12_18.csv,QA_2_URE_MS_OTT_LI_11_26_18.csv
LIF-391,76.28790784040235,,,,,,,
LIF-392,63.39016468420433,,,,,,,
LIF-393,54.21458901603662,,,,,,,
LIF-394,95.85092766121275,,,,,,,
LIF-395,41.23028382523326,,,,,,,
LIF-396,74.29698104447917,,,,,,,
LIF-397,87.3678482698879,,,,,,,
LIF-398,84.51130112791117,,,,,,,
LIF-399,77.84602446329875,,,,,,,
LIF-400,x_18.724154827840753,,,,,,53.36779185913274,
LIF-401,46.25088183234389,,,,,,,
LIF-402,85.55004554317543,,,,,,,
LIF-403,59.66799719617404,,,,,,,
LIF-404,62.870792476572205,,,,,,,
LIF-405,53.695216808404496,,,,,,,
LIF-406,67.3720182760507,,,,,,,
LIF-407,88.0737222232727,,,,,,,
LIF-408,89.70502320423252,,,,,,,
LIF-409,94.81218324594849,,,,,,,
LIF-410,x_18.118220585603257,,,,,,52.80606385366879,
LIF-411,76.72071801342913,,,,,,,
LIF-412,65.38109148012754,,,,,,,
LIF-413,42.61527637891894,,,,,,,
LIF-414,57.4173842964348,,,,,,,
LIF-415,69.44950710657925,,,,,,,
LIF-416,71.35387186789707,,,,,,,
LIF-417,,,,,,,82.41715442741095,
LIF-418,,,,,,,94.53442997384742,
LIF-419,,,,,,56.85712475139032,,65.79686613523465
LIF-420,,,,,,102.78645881738319,,118.67294174003686
LIF-421,,,,,,106.91137310310276,,118.76241056508727
LIF-422,,,,,,109.68775771849093,,126.18832304427272
LIF-423,,,,,,94.37797969649331,,109.63659040994375
LIF-424,,,,,,112.38481705915372,,129.94601369639062
LIF-425,,,,,,103.50038628991157,,120.46231824104538
LIF-426,,,,,,108.81517969651176,,129.1407942709368
LIF-427,,,,,,99.53412255364276,,116.61515876387702
LIF-428,,,,,,118.0962368393808,,145.06624512991274
LIF-429,,,,,,146.25670936688937,,167.16504491736814
LIF-430,,,,,,60.74406321293377,,71.88074623866369
LIF-431,,,,,,42.73722585027336,,52.28707355262022
LIF-432,,,,,,102.31050716903094,,116.52568993882662
LIF-433,,,,,,57.333076399742595,,64.90217788473039
LIF-434,,,,,,82.24121266351074,,x_74.83321746532775
LIF-435,,,,,,81.92391156460923,,83.3327558451183
LIF-436,,,,,,50.19380167445873,,x_67.67571146129362
LIF-437,,,,,,67.24873574041463,,x_31.440837315870784
LIF-438,,,,,,56.3018478283127,,x_73.04384096431923
LIF-439,,,,,,60.268111564581524,,67.3178361610919
LIF-440,,,,,,96.99571376243071,,x_89.50610477359774
LIF-441,,,,,,81.36863464153159,,x_101.94227145560708
LIF-442,,,,,,106.51474672947589,,x_103.46324148146432
LIF-443,,,,,,81.60661046570773,,x_93.62167072591737
LIF-444,,,,,,112.0675159602522,,x_110.35234101034719
LIF-445,,,,,,110.95696211409695,,126.00938539417189
LIF-446,,,,,,73.91205881734624,,x_99.34767552914467
LIF-447,,94.66056027492293,,,,,,
LIF-448,,63.676745823531846,,,,,,
LIF-449,,71.3154147603014,,,,,,
LIF-450,,111.31114200226327,,,,,,
LIF-451,,210.61383818026735,,,,,,
LIF-452,,225.2045541269058,,,,,,
LIF-453,,235.5897107712779,,,,,,
LIF-454,,206.75158984145136,,,,,,
LIF-455,,174.48035927712152,,,,,,
LIF-456,,154.56832339700316,,,,,,
LIF-457,,201.51609764883398,,,,,,
LIF-458,,171.64804382865643,,,,,,
LIF-459,,142.981578380555,,,,,,
LIF-460,,165.21096326396298,,,,,,
LIF-461,,111.568625224851,,,,,,
LIF-462,,359.01000213166674,,,,,,
LIF-463,,289.4895320329776,,,,,,
LIF-464,,333.4333353546182,,,,,,
LIF-465,,225.8053483129439,,,,,,
LIF-466,,91.8282448264578,,,,,,
LIF-467,,x_129.16331210167976,,,,,139.2319298371926,
LIF-468,,207.60986725007706,,,,,,
LIF-469,,x_151.56435246681292,,,,,179.35535879890284,
LIF-470,,148.38872605489746,,,,,,
LIF-471,,192.50418485826316,,,,,,
LIF-472,,308.7149459861953,,,,,,
LIF-473,,289.8328429964279,,,,,,
LIF-474,,349.39729515505786,,,,,,
LIF-475,,,321.45012683085235,351.27239901526383,,,,
LIF-476,,,167.53333283703816,146.45156996387902,,,,
LIF-477,,,195.81060191208806,184.08082110000632,,,,
LIF-478,,,265.09661192062265,276.2814032676737,,,,
LIF-479,,,205.92877165221253,197.5453161747817,,,,
LIF-480,,,192.1251758478043,179.17653481449207,,,,
LIF-481,,,417.20419675560663,478.6946735970787,,,,
LIF-482,,,x_246.60247385258054,x_251.67080299854774,,,273.72566371684536,
LIF-483,,,185.82644766521025,170.79466370834052,,,,
LIF-484,,,182.20802934754983,165.9795462643811,,,,
LIF-485,,,228.10833578453838,227.06020272942177,,,,
LIF-486,,,185.0893624523535,169.81380645123767,,,,
LIF-487,,,204.253577986629,195.3160951359116,,,,
LIF-488,,,216.91804209844048,212.16900618976956,,,,
LIF-489,,,225.42802591960475,223.49344906722968,,,,
LIF-490,,,180.0637814556029,163.12614333462736,,,,
LIF-491,,,253.10222527504456,260.32018062936373,,,,
LIF-492,,,215.77891040584367,210.65313588333794,,,,
LIF-493,,,120.89594118719283,84.39005624173542,,,,
LIF-494,,,200.90319065546194,190.8576530581714,,,,
LIF-495,,,142.0703891201686,112.5674101730535,,,,
LIF-496,,,341.9544972975947,378.55806453103384,,,,
LIF-497,,,176.17733215144915,157.95435052444876,,,,
LIF-498,,,183.54818428001664,167.7629230954772,,,,
LIF-499,,,191.79013711468755,178.73069060671804,,,,
LIF-500,,,178.45559553664273,160.98609113731206,,,,
LIF-501,,,218.25819703090724,213.95238302086562,,,,
LIF-502,,,194.6044624728679,182.47578195201982,,,,
LIF-503,,,,,197.00235375500404,,,
LIF-504,,,,,209.74155284681578,,,
LIF-505,,,,,366.5872948566391,,,
LIF-506,,,,,420.2545591157606,,,
LIF-507,,,,,200.887357733358,,,
LIF-508,,,,,119.48297204738397,,,
LIF-509,,,,,218.95714367919012,,,
LIF-510,,,,,157.70056932281904,,,
LIF-511,,,,,128.8792607392167,,,
LIF-512,,,,,353.034955397265,,,
LIF-513,,,,,98.34132249076029,,,
LIF-514,,,,,64.73152063151244,,,
