Sample_ID,N0,U0,N1,U1,N2,U2,N3,U3,N4,U4,N5,U5,N6,U6,N7,U7,N8,U8,N9,U9,N10,U10,N11,N12
IN-1049,,,11745.374065051386,55900.10420481245,,,,,,,,,,,,,,,,,,,,
IN-1050,,,26630.350475726773,84421.74397205241,,,,,,,,,,,,,,,,,,,,
IN-1051,,,39034.49748462292,85355.81138255607,,,,,,,,,,,,,,,,,,,,
IN-1052,,,56287.53832426939,59831.87632809535,,,,,,,,,,,,,,,,,,,,
IN-1053,,,24036.756101139395,88766.24355579044,,,,,,,,,,,,,,,,,,,,
IN-1054,,,-771.5379166529132,89830.64595380623,,,,,,,,,,,,,,,,,22702.59700871186,,22060.791483157333,
IN-1055,,,14564.498385255061,108034.09920966842,,,,,,,,,,,,,,,,,,,,
IN-1056,,,25502.700747645304,110662.52145782993,,,,,,,,,,,,,,,,,,,,
IN-1057,,,39598.32234866366,73234.65754392707,,,,,,,,,,,,,,,,,,,,
IN-1058,,,34523.898572297054,82249.49418018342,,,,,,,,,,,,,,,,,,,,
IN-1059,,,23923.991128331247,70606.23529576558,,,,,,,,,,,,,,,,,,,,
IN-1060,,,18624.037406348347,104384.7195593285,,,,,,,,,,,,,,,,,,,,
IN-1061,,,33170.71889859929,71648.9151958627,,,,,,,,,,,,,,,,,,,,
IN-1062,,,43094.03650571622,73864.6099835691,,,,,,,,,,,,,,,,,,,,
IN-1063,,,29900.534687163035,104623.66703643411,,,,,,,,,,,,,,,,,,,,
IN-1064,,,12421.963901900268,65566.6157786295,,,,,,,,,,,,,,,,,12417.211270174063,,,
IN-1065,,,17045.327787034286,81250.25927592367,,,,,,,,,,,,,,,,,,,,
IN-1066,,,27194.17533976751,79555.90443826588,,,,,,,,,,,,,,,,,,,,
IN-1067,,,20428.276971278698,67217.52562044993,,,,,,,,,,,,,,,,,,,,
IN-1068,,,44221.686233797685,74147.00245651205,,,,,,,,,,,,,,,,,,,,
IN-1069,,,33057.953925791146,80837.53181546857,,,,,,,,,,,,,,,,,,,,
IN-1070,,,29111.179877506,95912.94537103942,,,,,,,,,,,,,,,,,,,,
