Sample_ID,0,1,2,3,4,5,6,7,8,9
MN-0953,74301.65125103672,48504.09858259283,,,,,,,,
MN-0954,103905.689691266,57930.183298067204,,,,,,,,
MN-0955,50761.09056362549,91993.14958039277,,,,,,,,
MN-0956,116745.99552076304,32371.435255375047,,,,,,,,
MN-0957,82386.2882547941,23705.890382469497,,,,,,,,
MN-0958,81554.04621028967,53712.64417109457,,,,,,,,
MN-0959,104381.25657383996,45876.77912644593,,,,,,,,
MN-0960,89044.22461082958,47904.88537329616,,,,,,,,
MN-0961,68119.28177757518,49840.804972562306,,,,,,,,
MN-0962,100695.61323389172,47881.83871140014,,,,,,,,
MN-0963,78938.42835613286,29398.415870787776,,,,,,,,
MN-0964,80484.02072449826,60811.0160350704,,,,,,,,
MN-0965,111633.65153309294,34099.93489757695,,,,,,,,
MN-0966,73707.19264781926,51938.0512051006,,,,,,,,
MN-0967,43152.020442442066,53873.97080436674,,,,,,,,
MN-0968,66217.01424727931,50324.78487237884,,,,,,,,
MN-0969,60747.99509767873,29767.162461124182,,,,,,,,
MN-0970,76085.02706068908,37234.28091543641,,,,,,,,
MN-0971,76322.81050197606,39216.293838494596,,,,,,,,
MN-0972,157882.53086341094,28822.249323387136,,,,,,,,
MN-0973,75966.1353400456,47743.55874002399,,,,,,,,
MN-0974,86904.17363924677,37003.81429647616,,,,,,,,
MN-0975,111752.54325373641,27301.169638249463,,,,,,,,
MN-0976,137433.15491273045,37026.860958372185,,,,,,,,
MN-0977,53971.16702099975,35252.26799237821,,,,,,,,
MN-0978,105094.60689770091,23636.750396781415,,,,,,,,
MN-0979,91184.27558241245,33201.115083631965,,,,,,,,
MN-0980,85358.58127088138,34330.401516537204,,,,,,,,
MN-0981,,,,,,,102229.15627083187,37358.066023820575,,
MN-0982,,,,,,,136032.93853326913,28298.075172526267,,
MN-0983,,,,,,,67971.63196460353,44827.850628698325,,
MN-0984,,,,,,,94742.41254827865,28465.465303728008,,
MN-0985,,,,,,,99393.26849713747,51376.98951196651,,
MN-0986,,,,,,,65249.17970185689,34135.80599818704,,
MN-0987,,,,,,,82377.94185497108,37671.92251982384,,
MN-0988,,,,,,,75798.68222000006,25096.738913292946,,
MN-0989,,,,,,,92360.26681837537,25368.747876495778,,
MN-0990,,,,,,,93267.75090595757,20430.73900604438,,
MN-0991,,,,,,,79995.79612506778,31896.96299336373,,
MN-0992,,,,,,,81810.76430023219,22962.514740470735,,
MN-0993,,,,,,,79882.36061412001,13295.73466357011,,32282.270608164123
MN-0994,,,,,,,107447.18977442953,34010.263399785734,,
MN-0995,,,,,,,54813.112694661504,42714.55022227633,,
MN-0996,,,,,,,41427.72240282392,42944.71165267873,,
MN-0997,,,,,,,99393.26849713747,62215.50050727933,,
MN-0998,,,,,,,54926.54820560927,48175.65325273318,,
MN-0999,,,,,,,66383.53481133466,35265.689383798795,,
MN-1000,,,,,,,55380.29024940038,39931.68929104736,,
MN-1001,,,,,,,38478.39911818174,15388.111303591886,,
MN-1002,,,,,,,9325.472804603314,11726.452183553773,,
MN-1003,,,,,,,8417.988717021106,10910.425293945278,,
MN-1004,,,,,,,7170.19809659557,4382.210177077327,,
MN-1005,,,,,,,63661.082548588034,27084.496721313637,,
MN-1006,,,,,,,18513.749191373172,7395.23253870869,,
MN-1007,,,,,,,24412.395760657524,15074.254807588624,,
MN-1008,,,,,,,8077.682184177779,6893.062145103462,,
MN-1009,,,12441.329341981984,10554.471686775185,,,,,,
MN-1010,,,30913.199750382428,14730.987754667109,,,,,,
MN-1011,,,44222.125013577774,25982.010631437195,,,,,,
MN-1012,,,48811.40958709341,17053.64209854578,,,,,,
MN-1013,,,9343.562254858927,5291.209091013419,,,,,,
MN-1014,,,9687.7585978726,5248.591580116563,,,,,,
MN-1015,,,11523.472427278855,13324.609895070847,,,,,,
MN-1016,,,56268.997019056325,19951.632839532016,,,,,,
MN-1017,,,24373.46923312264,40429.34682547151,,,,,,
MN-1018,,,34584.62740919493,10256.149110497188,,,,,,
MN-1019,,,16571.685458146054,14475.28268928597,,,,,,
MN-1020,,,45254.71404261878,10469.236664981472,,,,,,
MN-1021,,,11752.936655954638,8679.301207313501,8015.142897507035,,,,8015.142897507035,9206.456599665617
MN-1022,,,30339.539178692972,7486.010902201524,,,,,,
MN-1023,,,24144.005004446863,10746.250485811037,,,,,,
MN-1024,,,38026.59083933166,13175.448606931852,,,,,,
MN-1025,,,9343.562254858927,18353.4761808999,,,,,,
MN-1026,,,52712.301474581705,20548.277992088002,,,,,,
MN-1027,,,12211.8651133062,7912.186011170088,,,,,,
MN-1028,,,11982.400884630419,11065.88181753746,,,,,,
MN-1029,,,28503.825349286715,8103.96481020594,,,,,,
MN-1030,,,42271.679069833626,12621.420965272719,,,,,,
MN-1031,,,8196.241111480018,5632.14917818827,,,,,8015.142897507035,
MN-1032,,,46860.96364334927,17522.4347184112,,,,,,
MN-1033,,,10031.954940886273,15711.190505294806,,,,,,
MN-1034,,,17833.738715862855,16393.070679644505,,,,,,
MN-1035,,,71184.17188298215,31586.213314373817,,,,,,
MN-1036,,,28733.289577962496,17756.831028343913,,,,,,
MN-1037,,,,,12261.03216267493,13180.603130750367,,,,
MN-1038,,,,,22129.855860092208,11794.08640226651,,,,
MN-1039,,,,,11687.263343057648,20459.815955290607,,,,
MN-1040,,,,,25342.961249948996,25289.515892842704,,,,
MN-1041,,,,,22129.855860092208,10800.416080186413,,,,
MN-1042,,,,,18801.996706311962,13943.187331416488,,,,
MN-1043,,,,,27179.021472724304,19396.81979678632,,,,
MN-1044,,,,,13523.323565832956,34417.41768869475,,,,
MN-1045,,,,,17424.951539230482,17617.456661898705,,,,
MN-1046,,,,,17195.44401138357,26814.684294174953,,,,
MN-1047,,,,,17195.44401138357,13365.47202788155,,,,
MN-1048,,,,,16277.413899995918,10292.026613075666,,,,
MN-1323,,,,,182899.879116855,21176.182931673935,,,,
MN-1324,,,,,223522.71154575874,16115.39687270786,,,,
MN-1325,,,,,205162.10931800565,20205.621221735233,,,,
MN-1326,,,,,228571.87715839082,20598.467628138995,,,,
MN-1327,,,,,243145.6051766698,18125.846129009453,,,,
MN-1328,,,,,222948.94272614145,18611.1269839788,,,,
MN-1329,,,,,244866.9116355217,22308.504926602418,,,,
MN-1330,,,,,183358.89417254884,18403.149474706224,,,,
MN-1331,,,,,242686.590120976,15260.37822347615,,,,
MN-1332,,,,,226391.55564384515,16300.265769839047,,,,
MN-1333,,,,,225244.01800461058,17940.97723187827,,,,
