Sample_ID,A_1_NIT_MS_ASH_LI_12_17_18.csv,A_2_NIT_MS_ASH_LI_12_17_18.csv,A_3_NIT_MS_ASH_LI_12_18_18.csv,A_4_NIT_MS_ASH_LI_12_18_18.csv,A_5_NIT_MS_ASH_LI_12_19_18.csv,A_6_NIT_MS_ASH_LI_00_00_00.csv,A_8_NIT_MS_ASH_LI_12_20_18.csv,B_2_NIT_MS_ASH_LI_01_03_18.csv,B_3_NIT_MS_ASH_LI_01_04_19.csv,B_5_NIT_MS_ASH_LI_01_04_19.csv,B_7_NIT_MS_ASH_LI_12_20_18.csv
LIF-241,281.00421940015445,,,,,,,,,,
LIF-242,265.5707929425331,,,,,,,,,,
LIF-243,329.32271607901504,,,,,,,,,,
LIF-244,285.7529660024995,,,,,,,,,,
LIF-245,254.52995709208093,,,,,,,,,,
LIF-246,363.6324102809578,,,,,,,,,,
LIF-247,336.2083986524153,,,,,,,,,,
LIF-248,371.82399817000294,,,,,,,,,,
LIF-249,305.93513906246574,,,,,,,,,,
LIF-250,255.9545810727845,,,,,,,,,,
LIF-251,278.62984609898194,,,,,,,,,,
LIF-252,288.8396512940238,,,,,,,,,,
LIF-253,331.222214719953,,,,,,,,,,
LIF-254,264.97719961724,,,,,,,,,,
LIF-255,254.529957092081,,,,,,,,,,
LIF-256,263.4338569714779,,,,,,,,,,
LIF-257,294.4194285517791,,,,,,,,,,
LIF-258,160.0298997054151,,,,,,,,,,
LIF-259,157.65552640424258,,,,,,,,,,
LIF-260,191.2529086158336,,,,,,,,,,
LIF-261,156.23090242353908,,,,,,,,,,
LIF-262,183.2987580569057,,,,,,,,,,
LIF-263,x_196.3578112133545,,,,,,,271.7851556434449,,,
LIF-264,203.12477512169613,,,,,,,,,,
LIF-265,224.13797883707284,,,,,,,,,,
LIF-266,184.96081936772643,,,,,,,,,,
LIF-267,156.34962108859773,,,,,,,,,,
LIF-268,229.12416276953513,,,,,,,,,,
LIF-269,,176.76790948748322,,,,,,,,,
LIF-270,,178.51304039542126,,,,,,,,,
LIF-271,,259.91093202996,,,,,,,,,
LIF-272,,223.76179179410056,,,,,,,,,
LIF-273,,217.7784858240272,,,,,,,,,
LIF-274,,146.7267274294069,,,,,,,,,
LIF-275,,338.44182288717195,,,,,,,,,
LIF-276,,339.0650839257213,,,,,,,,,
LIF-277,,239.59262217325278,,,,,,,,,
LIF-278,,326.7245153624452,,,,,,,,,
LIF-279,,274.4952403320137,,,,,,,,,
LIF-280,,275.7417624091123,,,,,,,,,
LIF-281,,281.4757639637658,,,,,,,,,
LIF-282,,268.38728215423055,,,,,,,,,
LIF-283,,269.38449981590946,,,,,,,,,
LIF-284,,230.74231542585275,,,,,,,,,
LIF-285,,298.92707304314627,,,,,,,,,
LIF-286,,256.66997462950366,,,,,,,,,
LIF-287,,131.89311471193355,,,,,,,,,
LIF-288,,117.30880640987989,,,,,,,,,
LIF-289,,227.2520536099766,,,,,,,,,
LIF-290,,204.19139518365247,,,,,,,,,
LIF-291,,196.46295830564114,,,,,,,,,
LIF-292,,219.39896452425546,,,,,,,,,
LIF-293,,267.0161078694221,,,,,,,,,
LIF-294,,140.99272587475332,,,,,,,,,
LIF-295,,149.09511937589426,,,,,,,,,
LIF-296,,117.18415420217002,,,,,,,,,
LIF-297,,,107.78817785894917,,,,,,,,
LIF-298,,,306.2772197246418,,,,,,,,
LIF-299,,,112.25865177484312,,,,,,,,
LIF-300,,,106.25544394492836,,,,,,,,
LIF-301,,,145.85107005713218,,,,,,,,
LIF-302,,,107.40499438044394,,,,,,,,
LIF-303,,,109.06545612063314,,,,,,,,
LIF-304,,,151.85427788704692,,,,,,,,
LIF-305,,,133.97238222347104,,,,,,,,
LIF-306,,,x_68.19255174674537,,,,,177.6507053735351,,,
LIF-307,,,174.71755877119045,,,,,,,,
LIF-308,,,187.74579704036714,,,,,,,,
LIF-309,,,94.63221176360403,,,,,,,,
LIF-310,,,97.31449611314041,,,,,,,,
LIF-311,,,112.13092394867476,,,,,,,,
LIF-312,,,138.95376744403862,,,,,,,,
LIF-313,,,168.71435094127565,,,,,,,,
LIF-314,,,143.80742483843778,,,,,,,,
LIF-315,,,131.80100917860824,,,,,,,,
LIF-316,,,100.12450828884519,,,,,,,,
LIF-317,,,144.31833614311137,,,,,,,,
LIF-318,,,46.86200477662265,,,,,,,,
LIF-319,,,158.3683970216353,,,,,,,,
LIF-320,,,128.35235787206142,,,,,,,,
LIF-321,,,86.58535871499485,,,,,,,,
LIF-322,,,96.93131263463522,,,,,,,,
LIF-323,,,185.44669616933598,,,,,,,,
LIF-324,,,45.45699868877026,,,,,,,,
LIF-325,,,,122.06841235409328,,,,,,,
LIF-326,,,,78.01750025699137,,,,,,,
LIF-327,,,,36.46677506269791,,,,,,,
LIF-328,,,,88.49447394495073,,,,,,,
LIF-329,,,,40.395640195682674,,,,,,,
LIF-330,,,,x_45.634127039662374,,,,49.503298517550995,,,
LIF-331,,,,44.32450532866745,,,,,,,
LIF-332,,,,x_16.82244939777408,,,,18.005384495939943,,,
LIF-333,,,,x_30.513949103630086,,,,28.78413834363954,,,
LIF-334,,,,20.751314530758844,,,,,,,
LIF-335,,,,25.156405740469033,,,,,,,
LIF-336,,,,19.679805858126635,,,,,,,
LIF-337,,,,29.680553469360586,,,,,,,
LIF-338,,,,46.34846615475051,,,,,,,
LIF-339,,,,25.275462259650396,,,,,,,
LIF-340,,,,29.323383911816517,,,,,,,
LIF-341,,,,31.942627333806364,,,,,,,
LIF-342,,,,x_25.989801374738533,,,,x_24.83192859948302,21.966906271406955,,
LIF-343,,,,32.418853410531796,,,,,,,
LIF-344,,,,x_16.34622332104865,,,,16.568217316246663,,,
LIF-345,,,,28.489988277547024,,,,,,,
LIF-346,,,,29.442440430997873,,,,,,,
LIF-347,,,,20.27508845403342,,,,,,,
LIF-348,,,,19.441692819763922,,,,,,,
LIF-349,,,,22.06093624175377,,,,,,,
LIF-350,,,,20.275088454033416,,,,20.40066312876207,,,
LIF-351,,,,14.917545090872371,,,,,,,
LIF-352,,,,17.655845032043572,,,,,,,
LIF-353,,,,,x_13.632649214946866,,,x_16.328689452964447,13.630948549728506,,13.246569745605012
LIF-354,,,,,30.274074341964926,,,,,,30.92235691422644
LIF-355,,,,,21.20736685896888,,,,,,20.707129264828342
LIF-356,,,,,x_22.92889359624661,,,21.957594240096462,,,22.19924116867301
LIF-357,,,,,21.20736685896888,,,,,,20.362795748556493
LIF-358,,,,,33.71712781652038,,,,,,30.118912042925466
LIF-359,,,,,x_15.813249748831993,,,x_16.208925521323344,16.448737075366292,,x_12.902236229333166
LIF-360,,,,,x_17.993850282717116,,,x_16.448453384605553,15.979105654426665,,x_15.886460037022498
LIF-361,,,,,21.092598409817032,,,,,,21.740129813643883
LIF-362,,,,,23.96180963861325,,,,,,x_23.806130911274956
LIF-363,,,,,18.567692528476364,,,,,,19.788906554770087
LIF-364,,,,,19.141534774235605,,,,,,x_17.608127618381733
LIF-365,,,,,17.649544935261567,,,,,,x_8.196344840284606
LIF-366,,,,,20.977829960665183,,,,,,17.608127618381726
LIF-367,,,,,x_19.026766325083752,,,20.999482786967604,20.792827719057875,,20.362795748556493
LIF-368,,,,,30.044537443661234,,,,,,31.496246108012848
LIF-369,,,,,x_16.042786647135692,,,17.40656483773441,,,17.1490162633526
LIF-370,,,,,18.682460977628207,,,,,,18.985461683469108
LIF-371,,,,,19.3710716725393,,,,,,x_21.740129813643883
LIF-372,,,,,x_23.732272740309547,,,x_28.42484654871622,x_25.958773349393812,27.05500190812221,26.790354718964284
LIF-373,,,,,29.355926748750136,,,,,,30.92235691422644
LIF-374,,,,,12.48496472342838,,,,,,x_13.476125423119575
LIF-375,,,,,x_12.255427825124684,,,15.490341931476701,,,13.820458939391424
LIF-376,,,,,x_26.371947070802072,,,29.622485865127288,,,25.87213200890603
LIF-377,,,,,x_14.550796808161659,,,18.484440222504368,,,x_16.575127069566193
LIF-378,,,,,13.517880765795018,,,,,,x_16.116015714537063
LIF-379,,,,,x_18.68246097762821,,,x_21.59830244517314,x_20.910235574292784,,x_7.622455646498194
LIF-380,,,,,19.944913918298546,,,,,,19.674128716012806
LIF-381,,,,,,x_14.551463399808515,x_14.551463399808515,x_16.089161589682234,13.161317128788875,,
