Sample_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
IN-1049,,,11732.773219400622,55903.87345607779,,,,,,,,,,,,,,,,,,,,
IN-1050,,,26621.964102101094,84431.4473083434,,,,,,,,,,,,,,,,,,,,
IN-1051,,,39029.62317101815,85365.70905674204,,,,,,,,,,,,,,,,,,,,
IN-1052,,,56287.54896687552,59836.463606313955,,,,,,,,,,,,,,,,,,,,
IN-1053,,,24027.635387691167,88776.85078926734,,,,,,,,,,,,,,,,,,,,
IN-1054,,,-787.6827501429519,89841.47464209369,,,,,,,,,,,,,,,,,22683.065363135313,,21918.183732867514,
IN-1055,,,14552.695735063597,108048.71522716494,,,,,,,,,,,,,,,,,,,,
IN-1056,,,25493.995095835908,110677.68433312394,,,,,,,,,,,,,,,,,,,,
IN-1057,,,39593.60767415074,73242.03334496426,,,,,,,,,,,,,,,,,,,,
IN-1058,,,34517.74714595741,82258.74556788143,,,,,,,,,,,,,,,,,,,,
IN-1059,,,23914.838487064644,70613.0642390053,,,,,,,,,,,,,,,,,,,,
IN-1060,,,18613.384157618268,104398.57630318883,,,,,,,,,,,,,,,,,,,,
IN-1061,,,33164.184338439176,71655.96107442705,,,,,,,,,,,,,,,,,,,,
IN-1062,,,43090.31159357283,73872.11684969824,,,,,,,,,,,,,,,,,,,,
IN-1063,,,29893.07422027014,104637.57349463967,,,,,,,,,,,,,,,,,,,,
IN-1064,,,12409.554623159736,65572.39620113354,,,,,,,,,,,,,,,,,12391.69135084383,,,
IN-1065,,,17034.227548847,81259.3027672689,,,,,,,,,,,,,,,,,,,,
IN-1066,,,27185.948605233687,79564.5954097086,,,,,,,,,,,,,,,,,,,,
IN-1067,,,20418.134567642566,67223.64952388463,,,,,,,,,,,,,,,,,,,,
IN-1068,,,44218.28059983801,74154.56807595829,,,,,,,,,,,,,,,,,,,,
IN-1069,,,33051.387437812664,80846.48943658115,,,,,,,,,,,,,,,,,,,,
IN-1070,,,29103.49591588451,95925.03951538718,,,,,,,,,,,,,,,,,,,,
IN-1071,,,24027.635387691163,65702.75830556126,,,,,,,,,,,,,,,,,,,,
IN-1072,,,40834.37358104245,63964.596913191686,,,,,,,,,,,,,,,,,,,,
IN-1073,,,43541.499196078905,69787.43757762975,,,,,,,,,,,,,,,,,,,,
IN-1074,,,17823.805853232632,110416.9601242685,,,,,,,,,,,,,,,,,,,,
IN-1075,,,24366.02608957072,72199.13650954254,,,,,,,,,,,,,,,,,,,,
IN-1076,,,22899.666381425977,68548.99758556642,,,,,,,,,,,,,,,,,,,,
IN-1077,,,,,31169.415983885123,57978.83551638133,,,,,,,,,,,,,,,,,,
IN-1078,,,,,29863.969802841286,79755.67359280642,,,,,,,,,,,,,,,,,,
IN-1079,,,,,19183.04650339173,111066.8724303385,,,,,,,,,,,,,,,,,,
IN-1080,,,,,19657.75420558949,109477.81230348733,,,,,,,,,,,,,,,,,,
IN-1081,,,,,24167.47737646819,86044.77071456947,,,,,,,,,,,,,,,,,,
IN-1082,,,,,51344.49332728982,46251.12415764879,,,,,,,,,,,,,,,,,,
IN-1083,,,,,30457.354430588486,87320.49504175984,,,,,,,,,,,,,,,,,,
IN-1084,,,,,39120.76999569756,109992.57826007291,,,,,,,,,,,,,,,,,,
IN-1085,,,,,26422.338961907542,109813.52923169531,,,,,,,,,,,,,,,,,,
IN-1086,,,,,29626.61595174241,60440.759656573275,,,,,,,,,,,,,,,,,,
IN-1087,,,,,40188.86232564252,62186.48768325483,,,,,,,,,,,,,,,,,,
IN-1088,,,,,35441.78530366494,100749.17217007953,,,,,,,,,,,,,,,,,,
IN-1089,,,,,21200.5542377322,89133.366454083,,,,,,,,,,,,,,,,,,
IN-1090,,,,,26066.30818525922,81076.1601770912,,,,,,,,,,,,,,,,,,
